scaleFactor,minNeighbors,avgDistance
1.01,1,90.12849007923371
1.01,2,83.98440256044341
1.01,3,58.07662815246429
1.01,4,53.592868217450054
1.01,5,42.53038060152061
1.01,6,30.868087042253592
1.01,7,30.508191384525748
1.01,8,30.508191384525748
1.01,9,30.508191384525748
1.01,10,30.508191384525748
1.02,1,61.94562652660562
1.02,2,40.67827790193259
1.02,3,39.09024396613083
1.02,4,28.086244676989214
1.02,5,22.836343883061534
1.02,6,22.836343883061534
1.02,7,22.836343883061534
1.02,8,9.56246365018469
1.02,9,9.56246365018469
1.02,10,9.56246365018469
1.03,1,60.35901952016978
1.03,2,30.574729921916656
1.03,3,30.574729921916656
1.03,4,12.872202419009358
1.03,5,12.872202419009358
1.03,6,9.592349927423365
1.03,7,9.592349927423365
1.03,8,9.592349927423365
1.03,9,9.592349927423365
1.03,10,9.592349927423365
1.04,1,62.56420699397635
1.04,2,21.2963021274157
1.04,3,9.851790797319456
1.04,4,9.851790797319456
1.04,5,9.851790797319456
1.04,6,9.851790797319456
1.04,7,9.851790797319456
1.04,8,9.851790797319456
1.04,9,9.851790797319456
1.04,10,9.851790797319456
1.05,1,35.799501056342116
1.05,2,24.875770040035057
1.05,3,24.875770040035057
1.05,4,9.929887450424697
1.05,5,9.806280652674719
1.05,6,9.806280652674719
1.05,7,9.806280652674719
1.05,8,9.806280652674719
1.05,9,9.806280652674719
1.05,10,6.03201601748013
1.06,1,32.16637582480443
1.06,2,25.441841337481996
1.06,3,10.046900245772253
1.06,4,10.046900245772253
1.06,5,10.046900245772253
1.06,6,10.046900245772253
1.06,7,10.046900245772253
1.06,8,10.046900245772253
1.06,9,10.046900245772253
1.06,10,6.177468762983083
1.07,1,20.796001010048553
1.07,2,15.296974593932083
1.07,3,15.296974593932083
1.07,4,15.296974593932083
1.07,5,9.515568441206899
1.07,6,9.515568441206899
1.07,7,9.515568441206899
1.07,8,5.762609067245614
1.07,9,5.762609067245614
1.07,10,5.762609067245614
1.08,1,47.747224236249096
1.08,2,29.96710291679607
1.08,3,13.137917490195516
1.08,4,9.788636911291414
1.08,5,9.788636911291414
1.08,6,9.788636911291414
1.08,7,10.538636911291414
1.08,8,10.538636911291414
1.08,9,10.538636911291414
1.08,10,6.764372276096826
1.09,1,39.209072675148576
1.09,2,33.2382020948932
1.09,3,24.02694340629896
1.09,4,10.315816715976739
1.09,5,10.315816715976739
1.09,6,10.315816715976739
1.09,7,10.315816715976739
1.09,8,10.315816715976739
1.09,9,7.3170959113062235
1.09,10,7.3170959113062235
1.1,1,20.073752589226725
1.1,2,13.53030352869104
1.1,3,13.53030352869104
1.1,4,12.191245114711336
1.1,5,10.491245114711337
1.1,6,11.233131231702917
